,date,energy_demand,time,is_weekend
1863,2023-01-20,42706.55699999,09:00:00,False
1867,2023-01-20,42875.86099999,10:00:00,False
1871,2023-01-20,42660.21899999,11:00:00,False
1875,2023-01-20,42249.45799999,12:00:00,False
1879,2023-01-20,43331.062,13:00:00,False
1883,2023-01-20,44265.233,14:00:00,False
1887,2023-01-20,44602.774,15:00:00,False
1891,2023-01-20,44868.251,16:00:00,False
1895,2023-01-20,44506.73499999,17:00:00,False
1899,2023-01-20,44912.423,18:00:00,False
1903,2023-01-20,46802.856,19:00:00,False
1907,2023-01-20,46695.904,20:00:00,False
1911,2023-01-20,45722.975,21:00:00,False
1915,2023-01-20,43828.49,22:00:00,False
1919,2023-01-20,41731.38799999,23:00:00,False
1923,2023-01-21,39471.131,00:00:00,True
1927,2023-01-21,37636.66399999,01:00:00,True
1931,2023-01-21,36417.409,02:00:00,True
1935,2023-01-21,35740.338,03:00:00,True
1939,2023-01-21,35381.846,04:00:00,True
1943,2023-01-21,35167.731,05:00:00,True
1947,2023-01-21,34788.216,06:00:00,True
1951,2023-01-21,35692.56499999,07:00:00,True
1955,2023-01-21,36801.675,08:00:00,True
1959,2023-01-21,37360.29399999,09:00:00,True
1963,2023-01-21,37597.672,10:00:00,True
1967,2023-01-21,37673.37199999,11:00:00,True
1971,2023-01-21,37773.982,12:00:00,True
1975,2023-01-21,37650.728,13:00:00,True
1979,2023-01-21,37706.248,14:00:00,True
1983,2023-01-21,38291.12599999,15:00:00,True
1987,2023-01-21,39336.39599999,16:00:00,True
1991,2023-01-21,40539.51799999,17:00:00,True
1995,2023-01-21,42467.689,18:00:00,True
1999,2023-01-21,45389.438,19:00:00,True
2003,2023-01-21,44920.494,20:00:00,True
2007,2023-01-21,43176.694,21:00:00,True
2011,2023-01-21,41095.857,22:00:00,True
2015,2023-01-21,39333.07,23:00:00,True
2019,2023-01-22,37417.19399999,00:00:00,True
2023,2023-01-22,35584.98399999,01:00:00,True
2027,2023-01-22,34248.076,02:00:00,True
2031,2023-01-22,33429.19799999,03:00:00,True
2035,2023-01-22,33021.86099999,04:00:00,True
2039,2023-01-22,32382.687,05:00:00,True
2043,2023-01-22,31232.757,06:00:00,True
2047,2023-01-22,30919.906,07:00:00,True
2051,2023-01-22,31016.039,08:00:00,True
2055,2023-01-22,31007.04299999,09:00:00,True
2059,2023-01-22,31095.771,10:00:00,True
2063,2023-01-22,31790.842,11:00:00,True
2067,2023-01-22,32311.924,12:00:00,True
2071,2023-01-22,32693.256,13:00:00,True
2075,2023-01-22,33112.10799999,14:00:00,True
2079,2023-01-22,34232.372,15:00:00,True
2083,2023-01-22,36129.36399999,16:00:00,True
2087,2023-01-22,38511.828,17:00:00,True
2091,2023-01-22,40703.53,18:00:00,True
2095,2023-01-22,43846.093,19:00:00,True
2099,2023-01-22,44107.94399999,20:00:00,True
2103,2023-01-22,43375.285,21:00:00,True
2107,2023-01-22,42209.996,22:00:00,True
2111,2023-01-22,40246.601,23:00:00,True
2115,2023-01-23,38327.68399999,00:00:00,False
2119,2023-01-23,36900.104,01:00:00,False
2123,2023-01-23,35756.58499999,02:00:00,False
2127,2023-01-23,35171.18299999,03:00:00,False
2131,2023-01-23,35287.25199999,04:00:00,False
2135,2023-01-23,35962.295,05:00:00,False
2139,2023-01-23,37316.814,06:00:00,False
2143,2023-01-23,40038.108,07:00:00,False
2147,2023-01-23,42339.977,08:00:00,False
2151,2023-01-23,43523.87799999,09:00:00,False
2155,2023-01-23,43913.89199999,10:00:00,False
2159,2023-01-23,43845.619,11:00:00,False
2163,2023-01-23,43506.299,12:00:00,False
2167,2023-01-23,44990.744,13:00:00,False
2171,2023-01-23,45336.535,14:00:00,False
2175,2023-01-23,46097.849,15:00:00,False
2179,2023-01-23,46683.70899999,16:00:00,False
2183,2023-01-23,45381.671,17:00:00,False
2187,2023-01-23,45515.595,18:00:00,False
2191,2023-01-23,48344.329,19:00:00,False
2195,2023-01-23,48537.337,20:00:00,False
2199,2023-01-23,47536.167,21:00:00,False
